epoch,accuracy,loss,val_accuracy,val_loss
0,0.49812498688697815,0.782221257686615,0.49549999833106995,0.7730712890625
1,0.5016250014305115,0.773009181022644,0.4925000071525574,0.7704874277114868
2,0.4947499930858612,0.7708945870399475,0.49050000309944153,0.7689350843429565
3,0.4925000071525574,0.7691064476966858,0.49399998784065247,0.7675133347511292
4,0.4933750033378601,0.7674892544746399,0.4945000112056732,0.7660862803459167
5,0.49137499928474426,0.765896201133728,0.4945000112056732,0.7645301222801208
6,0.4945000112056732,0.764488935470581,0.49549999833106995,0.7632331252098083
7,0.4959999918937683,0.7629790306091309,0.4950000047683716,0.7620211243629456
8,0.49437499046325684,0.7617253661155701,0.4934999942779541,0.7605359554290771
9,0.49825000762939453,0.7602418065071106,0.4950000047683716,0.7593065500259399
10,0.4971249997615814,0.7588894367218018,0.49300000071525574,0.7581083178520203
11,0.49562498927116394,0.7575606107711792,0.49399998784065247,0.756924569606781
12,0.4957500100135803,0.7562954425811768,0.49399998784065247,0.7558096051216125
13,0.4957500100135803,0.7549998164176941,0.49549999833106995,0.754725456237793
14,0.4957500100135803,0.7537692785263062,0.49399998784065247,0.7536776661872864
15,0.4959999918937683,0.752553403377533,0.49399998784065247,0.7526540756225586
16,0.4957500100135803,0.7513850331306458,0.49300000071525574,0.7516069412231445
17,0.4975000023841858,0.7502244710922241,0.49050000309944153,0.7506810426712036
18,0.49799999594688416,0.749112069606781,0.49149999022483826,0.7495324015617371
19,0.4975000023841858,0.747974693775177,0.4880000054836273,0.7485046982765198
20,0.5013750195503235,0.7469642758369446,0.48899999260902405,0.7475000619888306
21,0.4983749985694885,0.7460669875144958,0.48750001192092896,0.7466342449188232
22,0.4971249997615814,0.744914174079895,0.49149999022483826,0.7451714873313904
23,0.4976249933242798,0.7440044283866882,0.48750001192092896,0.7443576455116272
24,0.49962499737739563,0.7429073452949524,0.4860000014305115,0.7438775897026062
25,0.499875009059906,0.7418949007987976,0.4855000078678131,0.7432374358177185
26,0.5009999871253967,0.7408667802810669,0.47999998927116394,0.7426778674125671
27,0.49812498688697815,0.7399342060089111,0.48249998688697815,0.7417274713516235
28,0.4946250021457672,0.7394050359725952,0.4894999861717224,0.7400567531585693
29,0.4947499930858612,0.7383862733840942,0.4925000071525574,0.7394313216209412
30,0.49799999594688416,0.7374708652496338,0.4860000014305115,0.7391115427017212
31,0.4986250102519989,0.7365584373474121,0.4819999933242798,0.7384716868400574
32,0.49825000762939453,0.7355812191963196,0.47450000047683716,0.7375733852386475
33,0.5005000233650208,0.7347353100776672,0.4779999852180481,0.7358415126800537
34,0.4950000047683716,0.7340890169143677,0.4909999966621399,0.7334888577461243
35,0.4983749985694885,0.7338342070579529,0.4934999942779541,0.7329044938087463
36,0.49950000643730164,0.7324151396751404,0.5084999799728394,0.7308071255683899
37,0.5145000219345093,0.7310843467712402,0.5109999775886536,0.7286089062690735
38,0.5177500247955322,0.7304365634918213,0.5295000076293945,0.729153037071228
39,0.5168750286102295,0.7290681004524231,0.5270000100135803,0.7275462746620178
40,0.528124988079071,0.7274622321128845,0.5299999713897705,0.7245241403579712
41,0.5253750085830688,0.725759744644165,0.5389999747276306,0.7215611934661865
42,0.5332499742507935,0.7237908244132996,0.546500027179718,0.7204746603965759
43,0.5419999957084656,0.7218443155288696,0.5295000076293945,0.7220245599746704
44,0.5166249871253967,0.7254311442375183,0.5619999766349792,0.7217299938201904
45,0.5431249737739563,0.7202486395835876,0.5320000052452087,0.7190148234367371
46,0.5351250171661377,0.7187602519989014,0.5249999761581421,0.7222158312797546
47,0.5401250123977661,0.7165360450744629,0.5350000262260437,0.7158486247062683
48,0.5458750128746033,0.7129495739936829,0.5230000019073486,0.7230974435806274
49,0.5477499961853027,0.7115407586097717,0.5289999842643738,0.714816689491272
50,0.5491250157356262,0.7096322774887085,0.5289999842643738,0.7168496251106262
51,0.5534999966621399,0.707162618637085,0.5325000286102295,0.7160317897796631
52,0.5566250085830688,0.7040815949440002,0.5339999794960022,0.7230647802352905
53,0.5541250109672546,0.702923059463501,0.5440000295639038,0.7107550501823425
54,0.5636249780654907,0.6995205879211426,0.5559999942779541,0.698640763759613
55,0.5619999766349792,0.698769211769104,0.5220000147819519,0.7559740543365479
56,0.5712500214576721,0.6960145831108093,0.5580000281333923,0.7048847079277039
57,0.5699999928474426,0.6938306093215942,0.5565000176429749,0.7067462205886841
58,0.5707499980926514,0.6927067637443542,0.5325000286102295,0.7769162058830261
59,0.5803750157356262,0.6900405287742615,0.5440000295639038,0.7478914856910706
60,0.5755000114440918,0.688174843788147,0.527999997138977,0.778365433216095
61,0.5776249766349792,0.686576247215271,0.5525000095367432,0.7216769456863403
62,0.5724999904632568,0.6870807409286499,0.5475000143051147,0.7430733442306519
63,0.5828750133514404,0.6859056353569031,0.5425000190734863,0.7487830519676208
64,0.5807499885559082,0.6805938482284546,0.5540000200271606,0.7280400395393372
65,0.5837500095367432,0.679609477519989,0.5920000076293945,0.6787711381912231
66,0.5864999890327454,0.6781651377677917,0.578000009059906,0.6938897371292114
67,0.590499997138977,0.6752481460571289,0.5879999995231628,0.6697617769241333
68,0.593500018119812,0.6719560623168945,0.578499972820282,0.6812286972999573
69,0.5948749780654907,0.6727507710456848,0.578000009059906,0.7025109529495239
70,0.59375,0.6713475584983826,0.5945000052452087,0.6672050952911377
71,0.5982499718666077,0.6691040396690369,0.5929999947547913,0.6805171966552734
72,0.6002500057220459,0.6675171852111816,0.5910000205039978,0.67320716381073
73,0.5971249938011169,0.667940616607666,0.5879999995231628,0.6829316020011902
74,0.6008750200271606,0.6669178009033203,0.5820000171661377,0.6720890402793884
75,0.5982499718666077,0.6686937808990479,0.5929999947547913,0.6898789405822754
76,0.6016250252723694,0.6655328273773193,0.5879999995231628,0.6663331389427185
77,0.6018750071525574,0.663989245891571,0.5839999914169312,0.6667317152023315
78,0.6044999957084656,0.6635068655014038,0.5950000286102295,0.6593723893165588
79,0.6003749966621399,0.6644114851951599,0.5835000276565552,0.6735018491744995
80,0.606124997138977,0.6588907241821289,0.5690000057220459,0.6982174515724182
81,0.6036249995231628,0.661998987197876,0.5864999890327454,0.664904773235321
82,0.6087499856948853,0.6593490839004517,0.5795000195503235,0.6663721203804016
83,0.6078749895095825,0.6587272882461548,0.5899999737739563,0.6693494915962219
84,0.6082500219345093,0.6554607152938843,0.5855000019073486,0.6763763427734375
85,0.6054999828338623,0.6594823598861694,0.5975000262260437,0.659511148929596
86,0.609250009059906,0.6534942984580994,0.5945000052452087,0.6624398231506348
87,0.6102499961853027,0.6533509492874146,0.5954999923706055,0.6576597690582275
88,0.6103749871253967,0.6512678265571594,0.5960000157356262,0.6613624095916748
89,0.6100000143051147,0.6543850898742676,0.5975000262260437,0.6595081686973572
90,0.6122499704360962,0.6509924530982971,0.5920000076293945,0.6584196090698242
91,0.6141250133514404,0.6487694978713989,0.5774999856948853,0.6878694295883179
92,0.6122499704360962,0.6482275128364563,0.5889999866485596,0.6741621494293213
93,0.6121249794960022,0.647310197353363,0.5835000276565552,0.6846132874488831
94,0.6166250109672546,0.6470228433609009,0.5895000100135803,0.6763993501663208
95,0.6108750104904175,0.6470364928245544,0.5920000076293945,0.6617341637611389
96,0.6137499809265137,0.6437236070632935,0.6085000038146973,0.6505729556083679
97,0.6203749775886536,0.6437455415725708,0.5870000123977661,0.6634259819984436
98,0.6200000047683716,0.6442563533782959,0.6029999852180481,0.6537121534347534
99,0.6230000257492065,0.6389812231063843,0.6144999861717224,0.6482391357421875
100,0.6194999814033508,0.6376921534538269,0.5920000076293945,0.6493833065032959
101,0.6227499842643738,0.6370963454246521,0.6054999828338623,0.6537771821022034
102,0.6238750219345093,0.6344233155250549,0.609000027179718,0.6390695571899414
103,0.6291249990463257,0.6330322623252869,0.6100000143051147,0.6493546366691589
104,0.6216250061988831,0.6329208612442017,0.6115000247955322,0.6340567469596863
105,0.6273750066757202,0.6293896436691284,0.6200000047683716,0.6314002275466919
106,0.628250002861023,0.6273579597473145,0.6175000071525574,0.637248158454895
107,0.628250002861023,0.6256495118141174,0.6240000128746033,0.6330819725990295
108,0.6324999928474426,0.6265809535980225,0.6159999966621399,0.6493013501167297
109,0.6309999823570251,0.6242078542709351,0.6165000200271606,0.6252020001411438
110,0.6371250152587891,0.6223235726356506,0.6265000104904175,0.6323811411857605
111,0.6308749914169312,0.6223196983337402,0.6320000290870667,0.6215540170669556
112,0.6316249966621399,0.6216289401054382,0.6165000200271606,0.6503644585609436
113,0.6377500295639038,0.6219257712364197,0.6230000257492065,0.6232990026473999
114,0.6351249814033508,0.6197484135627747,0.6370000243186951,0.6204428672790527
115,0.6386250257492065,0.6169021725654602,0.6439999938011169,0.616857647895813
116,0.6416249871253967,0.6128273606300354,0.6330000162124634,0.6255241632461548
117,0.6442499756813049,0.6119570136070251,0.6334999799728394,0.6360545754432678
118,0.6411250233650208,0.6135894060134888,0.6370000243186951,0.6269344091415405
119,0.640375018119812,0.609429121017456,0.6234999895095825,0.6399446129798889
120,0.6466249823570251,0.607501208782196,0.6449999809265137,0.6134886145591736
121,0.6464999914169312,0.6068586707115173,0.6389999985694885,0.6234667301177979
122,0.640500009059906,0.6167353391647339,0.6320000290870667,0.6272227168083191
123,0.6476250290870667,0.6096977591514587,0.6439999938011169,0.6230395436286926
124,0.6508749723434448,0.603438675403595,0.6474999785423279,0.6182989478111267
125,0.6502500176429749,0.6045252084732056,0.6464999914169312,0.6237648129463196
126,0.6527500152587891,0.6058293581008911,0.6414999961853027,0.6272258162498474
127,0.6535000205039978,0.6048046350479126,0.6215000152587891,0.667605459690094
128,0.6538749933242798,0.6059862375259399,0.6244999766349792,0.677316427230835
129,0.6430000066757202,0.6193318963050842,0.6514999866485596,0.614235520362854
130,0.6570000052452087,0.6008324027061462,0.6365000009536743,0.643979549407959
131,0.6614999771118164,0.5968139171600342,0.6474999785423279,0.6239450573921204
132,0.6591249704360962,0.5944799184799194,0.6455000042915344,0.6254054307937622
133,0.6654999852180481,0.5912835001945496,0.6424999833106995,0.6447897553443909
134,0.6641250252723694,0.5926679372787476,0.6514999866485596,0.611314058303833
135,0.6663749814033508,0.5911687016487122,0.656499981880188,0.603293776512146
136,0.6671249866485596,0.5901243090629578,0.659500002861023,0.6139687299728394
137,0.6664999723434448,0.5886717438697815,0.6549999713897705,0.613755464553833
138,0.6703749895095825,0.5834489464759827,0.6395000219345093,0.6291705965995789
139,0.6639999747276306,0.5867251753807068,0.6554999947547913,0.5979658961296082
140,0.6597499847412109,0.5953564047813416,0.6520000100135803,0.6057894229888916
141,0.6643750071525574,0.5931310653686523,0.6470000147819519,0.6096562147140503
142,0.6738749742507935,0.5817016959190369,0.6635000109672546,0.5975161790847778
143,0.6710000038146973,0.5803828835487366,0.659500002861023,0.6035066843032837
144,0.674875020980835,0.5798308253288269,0.6485000252723694,0.6015830039978027
145,0.6681249737739563,0.5895262360572815,0.6455000042915344,0.6180185675621033
146,0.6736249923706055,0.5868005752563477,0.6620000004768372,0.5944952964782715
147,0.671875,0.5880666375160217,0.6600000262260437,0.6016826033592224
148,0.671625018119812,0.5897327661514282,0.6554999947547913,0.5984184145927429
149,0.6697499752044678,0.591451108455658,0.6460000276565552,0.6080392003059387
150,0.6792500019073486,0.5808179974555969,0.6575000286102295,0.5964314341545105
151,0.6781250238418579,0.581468939781189,0.6700000166893005,0.5920804738998413
152,0.6801249980926514,0.5770243406295776,0.6340000033378601,0.6504563093185425
153,0.6801249980926514,0.5749911665916443,0.6570000052452087,0.6031122803688049
154,0.6832500100135803,0.574282169342041,0.6514999866485596,0.6174886226654053
155,0.6813750267028809,0.5732715129852295,0.656000018119812,0.6047439575195312
156,0.6816250085830688,0.5699822306632996,0.6539999842643738,0.6248979568481445
157,0.6783750057220459,0.5758385062217712,0.671500027179718,0.5886704921722412
158,0.690750002861023,0.5667137503623962,0.6650000214576721,0.5961142778396606
159,0.6923750042915344,0.5661382079124451,0.652999997138977,0.6127422451972961
160,0.6891250014305115,0.5680400133132935,0.6620000004768372,0.6017718315124512
161,0.6926249861717224,0.5708190202713013,0.6600000262260437,0.6080865859985352
162,0.6974999904632568,0.5482860803604126,0.6644999980926514,0.5978227853775024
163,0.7216249704360962,0.5246707797050476,0.6644999980926514,0.5977001190185547
164,0.7261250019073486,0.5197991728782654,0.6654999852180481,0.6007437705993652
165,0.7294999957084656,0.5162136554718018,0.6635000109672546,0.6006896495819092
166,0.7310000061988831,0.5132685303688049,0.6614999771118164,0.6012980341911316
167,0.7335000038146973,0.5105825662612915,0.6635000109672546,0.6027246713638306
168,0.7333750128746033,0.5080141425132751,0.6629999876022339,0.6041338443756104
169,0.7328749895095825,0.5057663321495056,0.6644999980926514,0.6048471927642822
170,0.734000027179718,0.5036110877990723,0.6664999723434448,0.6065218448638916
171,0.7336249947547913,0.5013705492019653,0.6660000085830688,0.6081554293632507
172,0.7350000143051147,0.49941566586494446,0.6635000109672546,0.6097487807273865
173,0.7360000014305115,0.4974329471588135,0.6639999747276306,0.611452579498291
174,0.7368749976158142,0.495517760515213,0.6654999852180481,0.6132270097732544
175,0.7377499938011169,0.49353134632110596,0.6664999723434448,0.6149282455444336
